0.03,1663.7821
0.06,1680.6835
0.09,1697.1488
0.12,1713.1578
0.15,1728.6903
0.18,1743.7265
0.21,1758.2467
0.24,1772.232
0.27,1785.6636
0.3,1798.5233
0.33,1810.7933
0.36,1822.4567
0.39,1833.4971
0.42,1843.8986
0.45,1853.6462
0.48,1862.7259
0.51,1871.1242
0.54,1878.8287
0.57,1885.8278
0.6,1892.111
0.63,1897.6686
0.66,1902.4921
0.69,1906.574
0.72,1909.9078
0.75,1912.4884
0.78,1914.3115
0.81,1915.3741
0.84,1915.6744
0.87,1915.2115
0.9,1913.9861
0.93,1911.9996
0.96,1909.255
0.99,1905.756
1.02,1901.5079
1.05,1896.5167
1.08,1890.7897
1.11,1884.3354
1.14,1877.1631
1.17,1869.2833
1.2,1860.7073
1.23,1851.4475
1.26,1841.5172
1.29,1830.9304
1.32,1819.7022
1.35,1807.8482
1.38,1795.3847
1.41,1782.329
1.44,1768.6987
1.47,1754.5121
1.5,1739.7879
1.53,1724.5455
1.56,1708.8043
1.59,1692.5845
1.62,1675.9064
1.65,1658.7903
1.68,1641.2571
1.71,1623.3277
1.74,1605.0229
1.77,1586.3637
1.8,1567.3712
1.83,1548.0663
1.86,1528.4697
1.89,1508.6022
1.92,1488.4842
1.95,1468.136
1.98,1447.5778
2.01,1426.8291
2.04,1405.9095
2.07,1384.8379
2.1,1363.6331
2.13,1342.3133
2.16,1320.8965
2.19,1299.4
2.22,1277.8408
2.25,1256.2353
2.28,1265.3859
2.31,1258.417
2.34,1251.3224
2.37,1244.102
2.4,1236.7558
2.43,1229.2838
2.46,1221.6859
2.49,1213.9621
2.52,1206.1123
2.55,1198.1366
2.58,1190.0348
2.61,1181.807
2.64,1173.453
2.67,1164.9729
2.7,1156.3666
2.73,1147.6341
2.76,1138.7752
2.79,1129.79
2.82,1120.6784
2.85,1111.4404
2.88,1102.0759
2.91,1092.5849
2.94,1082.9672
2.97,1073.2229
3.0,1063.3519
3.03,1053.3542
3.06,1043.2296
3.09,1032.9781
3.12,1022.5997
3.15,1012.0943
3.18,1001.4618
3.21,990.7022
3.24,979.8154
3.27,968.8013
3.3,957.6599
3.33,946.391
3.36,934.9947
3.39,923.4708
3.42,911.8192
3.45,900.04
3.48,0.0
